"gene","eff_value_node_number_mean","eff_value_node_number_se","eff_value_underbiomass_mean","eff_value_underbiomass_se","eff_value_abovebiomass_mean","eff_value_abovebiomass_se","eff_value_totalbiomass_mean","eff_value_totalbiomass_se"
"1",0.653846153846154,NA,0.514662255059195,NA,0.712294043092522,NA,1.23103131961735,NA
"2",-0.193308550185874,0.100233968496006,-0.298195515910602,0.0926682681438458,-0.328746746002231,0.0531405973949014,-0.536773101303201,0.0999526963535054
"3",0.176470588235294,NA,-0.0334897195806858,0.0966738847383271,0.199341021416804,0.42833607907743,-0.0433079804745148,0.267056419570893
"4",-0.21763085399449,0.127527680430884,-0.0376828369940781,0.174392442970231,-0.105500237079184,0.187462185579209,0.0688122332859175,0.459699996545128
"5",0.301204819277108,0.276944687083677,0.108023004527325,0.269841105349689,-0.359045702107506,0.147641350823916,-0.0573727345415778,0.245275031391514
"6",0.28476821192053,0.113938083007187,0.197646834253558,0.0768111907223233,0.612444444444444,0.182669392148538,0.559368572603867,0.226376524763823
"7",0.0132743362831858,0.13428310535835,-0.0837572077324392,0.0964632826711939,-0.222605363984674,0.121502261412248,-0.23506151142355,0.186954084605019
"8",2.04980842911877,0.321108457314283,1.50780940404978,0.341718284849008,2.39166666666667,0.743178540058597,1.68661751240904,0.604746930443872
"9",1.89583333333333,0.729166666666667,10.0397695551907,1.97199118745613,-0.0678571428571428,0.210714285714286,0.384180790960452,0.36319612590799
"10",0.0329218106995885,0.196800776974788,-0.210738061222566,0.169979036557293,0.0164919379559805,0.31691228112385,-0.30291189380152,0.336098918745316
"11",0.558333333333333,0.516666666666667,0.065803725070195,0.365258321113192,0.642045193059966,0.673939412771267,0.628760591403382,0.675005540297256
"12",-0.229437229437229,0.0765879048179833,-0.216936953666008,0.200095103103839,-0.491768985902683,0.186646862493403,-0.384464720981902,0.297118026227186
