"gene","eff_value_rhizome_length_mean","eff_value_rhizome_length_se","eff_value_underbiomass_mean","eff_value_underbiomass_se","eff_value_abovebiomass_mean","eff_value_abovebiomass_se","eff_value_totalbiomass_mean","eff_value_totalbiomass_se"
"1",-0.174347158218126,0.117174702783351,-0.0317825886688161,0.307484018208983,-0.389050515736578,0.333542187634632,-0.17847640766683,0.267613188201164
"3",-0.270096463022508,0.0868167202572347,-0.387156270959088,0.100883076235189,0.363451086956522,0.254755434782609,-0.168382702360209,0.00277205765879932
"4",-0.273356401384083,0.276596253445537,-0.465989839835761,0.13973715705607,0.130715935334873,0.425544306929553,-0.41433808463745,0.146838499407942
"5",0.238503985285101,0.407457601904866,1.17341378679832,0.182286075083971,-0.418966496308915,0.113137613986909,0.463242668287494,0.10994373852104
"6",0.577777777777778,0.216109504421334,0.84273758099352,0.189075543279484,0.533314901852364,0.210668562036174,0.746511501144664,0.215419205790258
"7",0.234790874524715,0.156220675948316,0.486355366889024,0.281872121564217,0.609756097560975,0.268591607190646,0.573012939001849,0.280826328826208
"8",0.0807248764415156,0.157236948210199,-0.538799207023506,0.102378929481733,-0.451110425663171,0.0980219029562517,-0.552235102272324,0.0993654507426707
"9",0.0578512396694215,NA,-0.229839768846861,NA,-0.0675585284280936,NA,-0.137840809980661,NA
"10",-0.343832020997375,0.036745406824147,-0.256880880497117,0.204247065473634,-0.445977265202516,0.0417309374608755,-0.363857093305584,0.0882284342225694
"11",-0.0669291338582677,0.199315276517278,0.0562554811661783,0.312806668521813,0.0390103567318758,0.15058367348475,0.0262500357824915,0.315442608397901
"12",-0.109004739336493,0.194332060849059,-0.3787990411039,0.185315202444619,-0.553712052900511,0.14658878627621,-0.465042385440749,0.163658995629141
