"node_number.contrast","node_number.T_value","node_number.P_value","node_number.Signif","underbiomass.contrast","underbiomass.T_value","underbiomass.P_value","underbiomass.Signif","abovebiomass.contrast","abovebiomass.T_value","abovebiomass.P_value","abovebiomass.Signif","totalbiomass.contrast","totalbiomass.T_value","totalbiomass.P_value","totalbiomass.Signif"
"CN - NN",-1.379,0.175,"","CN - NN",-1.184,0.243,"","CN - NN",-0.894,0.376,"","CN - NN",-1.16,0.252,""
"CN - NN",1.015,0.315,"","CN - NN",1.586,0.119,"","CN - NN",0.703,0.485,"","CN - NN",1.684,0.099,""
"CN - NN",-0.567,0.573,"","CN - NN",0.11,0.913,"","CN - NN",-0.236,0.815,"","CN - NN",0.058,0.954,""
"CN - NN",1.692,0.097,"","CN - NN",0.203,0.84,"","CN - NN",0.378,0.707,"","CN - NN",-0.239,0.812,""
"CN - NN",-1.091,0.281,"","CN - NN",-0.423,0.675,"","CN - NN",1.289,0.203,"","CN - NN",0.142,0.888,""
"CN - NN",-1.599,0.117,"","CN - NN",-0.969,0.338,"","CN - NN",-1.401,0.167,"","CN - NN",-1.227,0.226,""
"CN - NN",-0.046,0.963,"","CN - NN",0.386,0.701,"","CN - NN",0.654,0.516,"","CN - NN",0.701,0.487,""
"CN - NN",-2.905,0.006,"**","CN - NN",-2.351,0.023,"*","CN - NN",-1.708,0.094,"","CN - NN",-1.155,0.254,""
"CN - NN",-2.254,0.029,"*","CN - NN",-2.361,0.023,"*","CN - NN",0.148,0.883,"","CN - NN",-0.36,0.72,""
"CN - NN",-0.15,0.881,"","CN - NN",0.932,0.357,"","CN - NN",-0.057,0.955,"","CN - NN",0.781,0.438,""
"CN - NN",-1.466,0.149,"","CN - NN",-0.246,0.807,"","CN - NN",-1.186,0.241,"","CN - NN",-0.908,0.369,""
"CN - NN",1.162,0.251,"","CN - NN",1.186,0.242,"","CN - NN",2.299,0.026,"*","CN - NN",1.471,0.148,""
