"funcleaf_area.contrast","funcleaf_area.T_value","funcleaf_area.P_value","funcleaf_area.Signif","node_number.contrast","node_number.T_value","node_number.P_value","node_number.Signif","leafbiomass.contrast","leafbiomass.T_value","leafbiomass.P_value","leafbiomass.Signif","stembiomass.contrast","stembiomass.T_value","stembiomass.P_value","stembiomass.Signif","rootbiomass.contrast","rootbiomass.T_value","rootbiomass.P_value","rootbiomass.Signif","totalbiomass.contrast","totalbiomass.T_value","totalbiomass.P_value","totalbiomass.Signif"
"C - N",-1.726,0.09,"","C - N",-0.278,0.782,"","C - N",-1.01,0.317,"","C - N",-0.838,0.406,"","C - N",-2.158,0.036,"*","C - N",-1.831,0.073,""
"C - N",-0.485,0.629,"","C - N",-0.029,0.977,"","C - N",-1.521,0.133,"","C - N",-0.732,0.467,"","C - N",-0.605,0.548,"","C - N",-0.969,0.337,""
"C - N",-1.965,0.054,"","C - N",-2.786,0.007,"**","C - N",-4.175,0,"***","C - N",-3.256,0.002,"**","C - N",-2.483,0.016,"*","C - N",-3.624,0.001,"***"
"C - N",-3.926,0,"***","C - N",-0.726,0.471,"","C - N",-3.82,0,"***","C - N",-2.788,0.007,"**","C - N",0.547,0.587,"","C - N",-1.546,0.128,""
"C - N",-2.626,0.011,"*","C - N",0.319,0.751,"","C - N",-1.344,0.184,"","C - N",1.635,0.108,"","C - N",1.752,0.086,"","C - N",1.34,0.186,""
"C - N",-1.179,0.243,"","C - N",-2.468,0.016,"*","C - N",-3.693,0,"***","C - N",-3.361,0.001,"**","C - N",-1.459,0.151,"","C - N",-2.785,0.007,"**"
"C - N",-4.56,0,"***","C - N",-1.262,0.212,"","C - N",-4.192,0,"***","C - N",-3.879,0,"***","C - N",-3.136,0.003,"**","C - N",-4.293,0,"***"
"C - N",-2.197,0.032,"*","C - N",-3.188,0.002,"**","C - N",-3.794,0,"***","C - N",-2.645,0.011,"*","C - N",-2.673,0.01,"*","C - N",-3.359,0.001,"**"
"C - N",-2.008,0.049,"*","C - N",-1.19,0.239,"","C - N",-1.943,0.057,"","C - N",-1.206,0.233,"","C - N",-0.462,0.646,"","C - N",-1.254,0.215,""
"C - N",-2.637,0.011,"*","C - N",-1.301,0.198,"","C - N",-3.857,0,"***","C - N",-3.394,0.001,"**","C - N",-1.761,0.084,"","C - N",-3.131,0.003,"**"
"C - N",-3.079,0.003,"**","C - N",-0.362,0.719,"","C - N",-2.683,0.009,"**","C - N",-2.477,0.017,"*","C - N",-0.12,0.905,"","C - N",-1.484,0.144,""
"C - N",-3.589,0.001,"***","C - N",-1.759,0.084,"","C - N",-3.174,0.002,"**","C - N",-2.039,0.046,"*","C - N",-1.338,0.187,"","C - N",-2.123,0.039,"*"
