"node_number.contrast","node_number.T_value","node_number.P_value","node_number.Signif","underbiomass.contrast","underbiomass.T_value","underbiomass.P_value","underbiomass.Signif","abovebiomass.contrast","abovebiomass.T_value","abovebiomass.P_value","abovebiomass.Signif","totalbiomass.contrast","totalbiomass.T_value","totalbiomass.P_value","totalbiomass.Signif"
"CN - NN",-1.365,0.178,"","CN - NN",-1.175,0.246,"","CN - NN",-0.894,0.376,"","CN - NN",-1.16,0.252,""
"CN - NN",1.044,0.302,"","CN - NN",1.592,0.118,"","CN - NN",0.703,0.485,"","CN - NN",1.684,0.099,""
"CN - NN",-0.542,0.59,"","CN - NN",0.108,0.914,"","CN - NN",-0.236,0.815,"","CN - NN",0.058,0.954,""
"CN - NN",1.695,0.096,"","CN - NN",0.203,0.84,"","CN - NN",0.378,0.707,"","CN - NN",-0.239,0.812,""
"CN - NN",-1.073,0.289,"","CN - NN",-0.422,0.675,"","CN - NN",1.289,0.203,"","CN - NN",0.142,0.888,""
"CN - NN",-1.576,0.121,"","CN - NN",-0.967,0.338,"","CN - NN",-1.401,0.167,"","CN - NN",-1.227,0.226,""
"CN - NN",-0.043,0.966,"","CN - NN",0.392,0.697,"","CN - NN",0.654,0.516,"","CN - NN",0.701,0.487,""
"CN - NN",-2.87,0.006,"**","CN - NN",-2.342,0.023,"*","CN - NN",-1.708,0.094,"","CN - NN",-1.155,0.254,""
"CN - NN",-2.237,0.03,"*","CN - NN",-2.358,0.023,"*","CN - NN",0.148,0.883,"","CN - NN",-0.36,0.72,""
"CN - NN",-0.172,0.864,"","CN - NN",0.925,0.359,"","CN - NN",-0.057,0.955,"","CN - NN",0.781,0.438,""
"CN - NN",-1.438,0.157,"","CN - NN",-0.238,0.813,"","CN - NN",-1.186,0.241,"","CN - NN",-0.908,0.369,""
"CN - NN",1.137,0.261,"","CN - NN",1.183,0.243,"","CN - NN",2.299,0.026,"*","CN - NN",1.471,0.148,""
