"rhizomes_length.contrast","rhizomes_length.T_value","rhizomes_length.P_value","rhizomes_length.Signif","underbiomass.contrast","underbiomass.T_value","underbiomass.P_value","underbiomass.Signif","abovebiomass.contrast","abovebiomass.T_value","abovebiomass.P_value","abovebiomass.Signif","totalbiomass.contrast","totalbiomass.T_value","totalbiomass.P_value","totalbiomass.Signif"
"CC - NC",0.387,0.701,"","CC - NC",0.058,0.954,"","CC - NC",0.767,0.446,"","CC - NC",0.38,0.706,""
"CC - NC",NA,NA,"","CC - NC",NA,NA,"","CC - NC",NA,NA,"","CC - NC",NA,NA,""
"CC - NC",0.876,0.385,"","CC - NC",1.572,0.122,"","CC - NC",-0.936,0.353,"","CC - NC",0.659,0.513,""
"CC - NC",1.354,0.182,"","CC - NC",2.271,0.027,"*","CC - NC",-0.32,0.75,"","CC - NC",1.733,0.089,""
"CC - NC",-0.797,0.429,"","CC - NC",-2.901,0.006,"**","CC - NC",1.286,0.204,"","CC - NC",-1.413,0.164,""
"CC - NC",-2.744,0.008,"**","CC - NC",-2.892,0.006,"**","CC - NC",-1.949,0.057,"","CC - NC",-2.89,0.006,"**"
"CC - NC",-0.562,0.576,"","CC - NC",-0.959,0.342,"","CC - NC",-1.429,0.159,"","CC - NC",-1.267,0.211,""
"CC - NC",-0.167,0.868,"","CC - NC",0.91,0.367,"","CC - NC",1.28,0.206,"","CC - NC",1.273,0.209,""
"CC - NC",-0.06,0.953,"","CC - NC",0.222,0.825,"","CC - NC",0.132,0.896,"","CC - NC",0.21,0.835,""
"CC - NC",1.193,0.238,"","CC - NC",0.727,0.471,"","CC - NC",2.535,0.014,"*","CC - NC",1.62,0.112,""
"CC - NC",0.251,0.803,"","CC - NC",-0.193,0.848,"","CC - NC",-0.142,0.888,"","CC - NC",-0.099,0.921,""
"CC - NC",0.314,0.755,"","CC - NC",1.465,0.149,"","CC - NC",3.211,0.002,"**","CC - NC",2.423,0.019,"*"
