"funcleaf_area.contrast","funcleaf_area.T_value","funcleaf_area.P_value","funcleaf_area.Signif","node_number.contrast","node_number.T_value","node_number.P_value","node_number.Signif","leafbiomass.contrast","leafbiomass.T_value","leafbiomass.P_value","leafbiomass.Signif","stembiomass.contrast","stembiomass.T_value","stembiomass.P_value","stembiomass.Signif","rootbiomass.contrast","rootbiomass.T_value","rootbiomass.P_value","rootbiomass.Signif","totalbiomass.contrast","totalbiomass.T_value","totalbiomass.P_value","totalbiomass.Signif"
"C - N",-1.726,0.09,"","C - N",-0.278,0.782,"","C - N",-1.01,0.317,"","C - N",-0.813,0.42,"","C - N",-2.021,0.048,"*","C - N",-1.692,0.096,""
"C - N",-0.485,0.629,"","C - N",-0.029,0.977,"","C - N",-1.521,0.133,"","C - N",-0.61,0.544,"","C - N",-0.291,0.772,"","C - N",-0.594,0.554,""
"C - N",-1.965,0.054,"","C - N",-2.786,0.007,"**","C - N",-4.175,0,"***","C - N",-3.073,0.003,"**","C - N",-2.077,0.042,"*","C - N",-3.088,0.003,"**"
"C - N",-3.926,0,"***","C - N",-0.726,0.471,"","C - N",-3.82,0,"***","C - N",-2.703,0.009,"**","C - N",0.513,0.61,"","C - N",-1.429,0.158,""
"C - N",-2.626,0.011,"*","C - N",0.319,0.751,"","C - N",-1.344,0.184,"","C - N",1.601,0.115,"","C - N",1.616,0.111,"","C - N",1.223,0.226,""
"C - N",-1.179,0.243,"","C - N",-2.468,0.016,"*","C - N",-3.693,0,"***","C - N",-3.258,0.002,"**","C - N",-1.409,0.164,"","C - N",-2.613,0.011,"*"
"C - N",-4.56,0,"***","C - N",-1.262,0.212,"","C - N",-4.192,0,"***","C - N",-3.681,0.001,"***","C - N",-2.698,0.009,"**","C - N",-3.716,0,"***"
"C - N",-2.197,0.032,"*","C - N",-3.188,0.002,"**","C - N",-3.794,0,"***","C - N",-2.584,0.012,"*","C - N",-2.484,0.016,"*","C - N",-3.102,0.003,"**"
"C - N",-2.008,0.049,"*","C - N",-1.19,0.239,"","C - N",-1.943,0.057,"","C - N",-1.184,0.241,"","C - N",-0.401,0.69,"","C - N",-1.144,0.257,""
"C - N",-2.637,0.011,"*","C - N",-1.301,0.198,"","C - N",-3.857,0,"***","C - N",-3.312,0.002,"**","C - N",-1.625,0.109,"","C - N",-2.89,0.005,"**"
"C - N",-3.079,0.003,"**","C - N",-0.362,0.719,"","C - N",-2.683,0.009,"**","C - N",-2.401,0.019,"*","C - N",-0.112,0.911,"","C - N",-1.371,0.175,""
"C - N",-3.589,0.001,"***","C - N",-1.759,0.084,"","C - N",-3.174,0.002,"**","C - N",-1.972,0.053,"","C - N",-1.296,0.2,"","C - N",-1.997,0.05,""
